date,open,high,low,close,volume,change,change_percent
2025-05-01,36197.0391,36544.1484,36040.0508,36452.3008,131600000,,
2025-05-02,36636.5508,36976.5117,36606.5781,36830.6914,141000000,,
2025-05-07,36903.6602,36942.3789,36731.3906,36779.6602,156300000,,
2025-05-08,36863.3789,36977.3516,36606.7109,36928.6289,137300000,,
2025-05-09,37332.5703,37557.4102,37219.0312,37503.3281,201400000,,
2025-05-12,37697.2812,37726.4414,37417.3906,37644.2617,142900000,,
2025-05-13,38149.5312,38494.0586,38124.1992,38183.2617,177400000,,
2025-05-14,38199.0312,38325.8789,37851.8008,38128.1289,152100000,,
2025-05-15,37832.3594,37876.8398,37633.3594,37755.5117,134800000,,
2025-05-16,37748.5781,37786.4297,37479.2109,37753.7188,128100000,,
2025-05-19,37572.3594,37656.2305,37445.9297,37498.6289,107600000,,
2025-05-20,37723.6016,37921.8086,37455.6992,37529.4883,125800000,,
2025-05-21,37590.1484,37659.9414,37298.9805,37298.9805,121300000,,
2025-05-22,36931.8906,37100.4492,36855.8281,36985.8711,110900000,,
2025-05-23,37161.7383,37373.9102,37111.6289,37160.4688,105300000,,
2025-05-26,37209.2617,37531.5312,37167.0117,37531.5312,89900000,,
2025-05-27,37523.3711,37769.0508,37411.6797,37724.1094,86200000,,
2025-05-28,38094.7891,38178.7305,37709.7109,37722.3984,122600000,,
2025-05-29,38046.9688,38454.0703,38035.3203,38432.9805,133200000,,
2025-05-30,37912.4883,38114.4688,37748.1719,37965.1016,204300000,,
2025-06-02,37651.1797,37651.1797,37320.7188,37470.6719,109600000,,
2025-06-03,37598.3086,37729.4492,37446.8086,37446.8086,109300000,,
2025-06-04,37686.6602,37868.4219,37672.4688,37747.4492,106700000,,
2025-06-05,37590.3906,37732.8789,37527.8789,37554.4883,113800000,,
2025-06-06,37590.4414,37756.1484,37590.4219,37741.6094,98100000,,
2025-06-09,38028.7109,38178.0117,38018.2188,38088.5703,85700000,,
2025-06-10,38278.1719,38495.6992,38139.1016,38211.5117,106000000,,
2025-06-11,38431.1016,38529.6406,38288.2812,38421.1914,109300000,,
